feature_set,horizon,loss,model,regime,pooled_ratio_vs_HAR
M_ALL,1,mse,EN,low_vol,1.0813966327740465
M_ALL,1,mse,GB,high_vol,1.0207782391004818
M_ALL,1,mse,GB,low_vol,0.8911772586340772
M_ALL,1,mse,HAR,high_vol,1.0
M_ALL,1,mse,HAR,low_vol,1.0
M_ALL,1,mse,HAR-X,high_vol,0.9662045166141601
M_ALL,1,mse,HAR-X,low_vol,1.220027533783528
M_ALL,1,mse,HARQ,high_vol,1.055259057176816
M_ALL,1,mse,HARQ,low_vol,1.0364158516419202
M_ALL,1,mse,LA,high_vol,0.9084364811536919
M_ALL,1,mse,LA,low_vol,0.955804910771383
M_ALL,1,mse,LevHAR,high_vol,1.0516429430525613
M_ALL,1,mse,LevHAR,low_vol,1.0338328779562733
M_ALL,1,mse,LogHAR,high_vol,0.9683634628980347
M_ALL,1,mse,LogHAR,low_vol,0.9214380025636082
M_ALL,1,mse,NN1_ensemble,high_vol,0.9174701360240003
M_ALL,1,mse,NN1_ensemble,low_vol,0.9422652209056733
M_ALL,1,mse,NN1_top1,high_vol,0.9766667080484486
M_ALL,1,mse,NN1_top1,low_vol,1.319023853006205
M_ALL,1,mse,NN2_ensemble,high_vol,0.9042419103988536
M_ALL,1,mse,NN2_ensemble,low_vol,0.8825482115961959
M_ALL,1,mse,NN2_top1,high_vol,1.053943463234529
M_ALL,1,mse,NN2_top1,low_vol,1.2356970837470607
M_ALL,1,mse,NN3_ensemble,high_vol,0.9246409466907138
M_ALL,1,mse,NN3_ensemble,low_vol,0.910861449274186
M_ALL,1,mse,NN3_top1,high_vol,1.0438623763051602
M_ALL,1,mse,NN3_top1,low_vol,1.3201456785695662
M_ALL,1,mse,NN4_ensemble,high_vol,0.9422080109097549
M_ALL,1,mse,NN4_ensemble,low_vol,0.9227019480640083
M_ALL,1,mse,NN4_top1,high_vol,1.1098519087697218
M_ALL,1,mse,NN4_top1,low_vol,1.1919457696611
M_ALL,1,mse,P-LA,high_vol,0.945609610419602
M_ALL,1,mse,P-LA,low_vol,1.0228475366377856
M_ALL,1,mse,RF,high_vol,0.990146917421756
M_ALL,1,mse,RF,low_vol,0.9981445942382661
M_ALL,1,mse,RR,high_vol,0.9625093443656736
M_ALL,1,mse,RR,low_vol,1.1602974937072947
M_ALL,1,mse,SHAR,high_vol,1.036643912663189
M_ALL,1,mse,SHAR,low_vol,1.0842977002670222
M_ALL,1,qlike,A-LA,high_vol,0.8767001234845945
M_ALL,1,qlike,A-LA,low_vol,2.5594308715373315
M_ALL,1,qlike,BG,high_vol,1.02511124115275
M_ALL,1,qlike,BG,low_vol,1.0235317722249515
M_ALL,1,qlike,EN,high_vol,1.659003777396835
M_ALL,1,qlike,EN,low_vol,2.876396788533304
M_ALL,1,qlike,GB,high_vol,1.3079853946311644
M_ALL,1,qlike,GB,low_vol,1.4435527268899195
M_ALL,1,qlike,HAR,high_vol,1.0
M_ALL,1,qlike,HAR,low_vol,1.0
M_ALL,1,qlike,HAR-X,high_vol,1.7655689031468604
M_ALL,1,qlike,HAR-X,low_vol,3.616307512104211
M_ALL,1,qlike,HARQ,high_vol,1.0683542521624216
M_ALL,1,qlike,HARQ,low_vol,1.1079994915570481
M_ALL,1,qlike,LA,high_vol,1.0030321707856893
M_ALL,1,qlike,LA,low_vol,1.4922180738306086
M_ALL,1,qlike,LevHAR,high_vol,1.1429670114184916
M_ALL,1,qlike,LevHAR,low_vol,1.01538614302678
M_ALL,1,qlike,LogHAR,high_vol,1.0302623774268014
M_ALL,1,qlike,LogHAR,low_vol,0.9360276317879427
M_ALL,1,qlike,NN1_ensemble,high_vol,1.3258276869644046
M_ALL,1,qlike,NN1_ensemble,low_vol,1.1266772524094266
M_ALL,1,qlike,NN1_top1,high_vol,1.3993156103807867
M_ALL,1,qlike,NN1_top1,low_vol,1.2291097898591048
M_ALL,1,qlike,NN2_ensemble,high_vol,1.381663669677226
M_ALL,1,qlike,NN2_ensemble,low_vol,1.0646909667446864
M_ALL,1,qlike,NN2_top1,high_vol,2.914825826848896
M_ALL,1,qlike,NN2_top1,low_vol,1.6974728963651746
M_ALL,1,qlike,NN3_ensemble,high_vol,1.090101632036175
M_ALL,1,qlike,NN3_ensemble,low_vol,1.0195259929286509
M_ALL,1,qlike,NN3_top1,high_vol,2.404550323613559
M_ALL,1,qlike,NN3_top1,low_vol,1.5495208701564016
M_ALL,1,qlike,NN4_ensemble,high_vol,1.2200710491831368
M_ALL,1,qlike,NN4_ensemble,low_vol,0.9450955304281013
M_ALL,1,qlike,NN4_top1,high_vol,1.9142122996119928
M_ALL,1,qlike,NN4_top1,low_vol,1.1630118202733797
M_ALL,1,qlike,P-LA,high_vol,1.4455766650938606
M_ALL,1,qlike,P-LA,low_vol,2.4142560270347855
M_ALL,1,qlike,RF,high_vol,1.0018541823242273
M_ALL,1,qlike,RF,low_vol,0.9825654851171826
M_ALL,1,qlike,RR,high_vol,1.7717131123379406
M_ALL,1,qlike,RR,low_vol,3.5577854409365464
M_ALL,1,qlike,SHAR,high_vol,1.4066305479547252
M_ALL,1,qlike,SHAR,low_vol,1.0969383841906577
M_ALL,5,mse,A-LA,high_vol,0.5931954753069536
M_ALL,5,mse,A-LA,low_vol,4.131127369825219
M_ALL,5,mse,BG,high_vol,1.221952325715083
M_ALL,5,mse,BG,low_vol,1.5404590386184136
M_ALL,5,mse,EN,high_vol,0.8783975360283619
M_ALL,5,mse,EN,low_vol,1.2849927276108313
M_ALL,5,mse,GB,high_vol,0.9269770524462385
M_ALL,5,mse,GB,low_vol,0.8297577256257087
M_ALL,5,mse,HAR,high_vol,1.0
M_ALL,5,mse,HAR,low_vol,1.0
M_ALL,5,mse,HAR-X,high_vol,1.2000202410740883
M_ALL,5,mse,HAR-X,low_vol,1.1236293896154013
M_ALL,5,mse,HARQ,high_vol,1.2837986889849782
M_ALL,5,mse,HARQ,low_vol,1.0773290318434583
M_ALL,5,mse,LA,high_vol,0.8469632765806826
M_ALL,5,mse,LA,low_vol,1.132522343344435
M_ALL,5,mse,LevHAR,high_vol,1.0259733477280368
M_ALL,5,mse,LevHAR,low_vol,0.9707458175031501
M_ALL,5,mse,LogHAR,high_vol,0.8137947051082609
M_ALL,5,mse,LogHAR,low_vol,0.8956839423233985
M_ALL,5,mse,NN1_ensemble,high_vol,0.9017515943846535
M_ALL,5,mse,NN1_ensemble,low_vol,0.868030770942506
M_ALL,5,mse,NN1_top1,high_vol,0.9043552254592245
M_ALL,5,mse,NN1_top1,low_vol,1.0713770719911115
M_ALL,5,mse,NN2_ensemble,high_vol,0.8630767002317467
M_ALL,5,mse,NN2_ensemble,low_vol,0.8316326531922088
M_ALL,5,mse,NN2_top1,high_vol,1.0146270625770553
M_ALL,5,mse,NN2_top1,low_vol,1.1639793752506753
M_ALL,5,mse,NN3_ensemble,high_vol,0.9325808440562082
M_ALL,5,mse,NN3_ensemble,low_vol,0.803306366322481
M_ALL,5,mse,NN3_top1,high_vol,1.069181106455772
M_ALL,5,mse,NN3_top1,low_vol,1.1110582669281666
M_ALL,5,mse,NN4_ensemble,high_vol,0.8993679376132716
M_ALL,5,mse,NN4_ensemble,low_vol,0.928793441744704
M_ALL,5,mse,NN4_top1,high_vol,1.1917442030749725
M_ALL,5,mse,NN4_top1,low_vol,1.2578409196888511
M_ALL,5,mse,P-LA,high_vol,1.0591773621876905
M_ALL,5,mse,P-LA,low_vol,0.9793838603063517
M_ALL,5,mse,RF,high_vol,1.0100075613487132
M_ALL,5,mse,RF,low_vol,1.156519772481644
M_ALL,5,mse,RR,high_vol,1.1683354861896114
M_ALL,5,mse,RR,low_vol,1.1024190144347459
M_ALL,5,mse,SHAR,high_vol,0.9653802434583149
M_ALL,5,mse,SHAR,low_vol,1.038452110998215
M_ALL,5,qlike,A-LA,high_vol,0.662691683879439
M_ALL,5,qlike,A-LA,low_vol,2.729584983657476
M_ALL,5,qlike,BG,high_vol,1.2692112433946472
M_ALL,5,qlike,BG,low_vol,1.1850660668300346
M_ALL,5,qlike,EN,high_vol,1.3835183274945866
M_ALL,5,qlike,EN,low_vol,2.0600108317433974
M_ALL,5,qlike,GB,high_vol,1.1016944115223202
M_ALL,5,qlike,GB,low_vol,0.9352515851210604
M_ALL,5,qlike,HAR,high_vol,1.0
M_ALL,5,qlike,HAR,low_vol,1.0
M_ALL,5,qlike,HAR-X,high_vol,1.7877071907050646
M_ALL,5,qlike,HAR-X,low_vol,2.205079202140103
M_ALL,5,qlike,HARQ,high_vol,1.1419072480403674
M_ALL,5,qlike,HARQ,low_vol,1.0747333735019426
M_ALL,5,qlike,LA,high_vol,0.9897957950372742
M_ALL,5,qlike,LA,low_vol,1.446121203917586
M_ALL,5,qlike,LevHAR,high_vol,1.0776035415139553
M_ALL,5,qlike,LevHAR,low_vol,0.9689366874652469
M_ALL,5,qlike,LogHAR,high_vol,0.966327385384404
M_ALL,5,qlike,LogHAR,low_vol,0.9325589601534952
M_ALL,5,qlike,NN1_ensemble,high_vol,1.1776246566095099
M_ALL,5,qlike,NN1_ensemble,low_vol,1.006972357504677
M_ALL,5,qlike,NN1_top1,high_vol,1.2237772382299197
M_ALL,5,qlike,NN1_top1,low_vol,1.1592034335930916
M_ALL,5,qlike,NN2_ensemble,high_vol,1.1329560975552888
M_ALL,5,qlike,NN2_ensemble,low_vol,0.934985404476687
M_ALL,5,qlike,NN2_top1,high_vol,1.9832021115292147
M_ALL,5,qlike,NN2_top1,low_vol,1.3994881665791425
M_ALL,5,qlike,NN3_ensemble,high_vol,1.2038310267035648
M_ALL,5,qlike,NN3_ensemble,low_vol,0.930590549679945
M_ALL,5,qlike,NN3_top1,high_vol,1.7578263075453655
M_ALL,5,qlike,NN3_top1,low_vol,1.2632031383967328
M_ALL,5,qlike,NN4_ensemble,high_vol,1.258665147505575
M_ALL,5,qlike,NN4_ensemble,low_vol,1.0399946863063232
M_ALL,5,qlike,NN4_top1,high_vol,1.6876327741288684
M_ALL,5,qlike,NN4_top1,low_vol,1.544882538267218
M_ALL,5,qlike,P-LA,high_vol,1.6225814580068265
M_ALL,5,qlike,P-LA,low_vol,1.734265173283511
M_ALL,5,qlike,RF,high_vol,1.184560927366656
M_ALL,5,qlike,RF,low_vol,1.0557986861005297
M_ALL,5,qlike,RR,high_vol,1.9565788072430017
M_ALL,5,qlike,RR,low_vol,2.519748904704189
M_ALL,5,qlike,SHAR,high_vol,1.012224081475724
M_ALL,5,qlike,SHAR,low_vol,1.0155868500979155
M_ALL,22,mse,A-LA,high_vol,0.5880741857995347
M_ALL,22,mse,A-LA,low_vol,2.350040477251202
M_ALL,22,mse,BG,high_vol,3.0246089868714443
M_ALL,22,mse,BG,low_vol,12.910297499732776
M_ALL,22,mse,EN,high_vol,0.9115544619728645
M_ALL,22,mse,EN,low_vol,1.0634047127521433
M_ALL,22,mse,GB,high_vol,1.7369812805739133
M_ALL,22,mse,GB,low_vol,3.4646677556789176
M_ALL,22,mse,HAR,high_vol,1.0
M_ALL,22,mse,HAR,low_vol,1.0
M_ALL,22,mse,HAR-X,high_vol,1.7983301680575792
M_ALL,22,mse,HAR-X,low_vol,0.9145594555238433
M_ALL,22,mse,HARQ,high_vol,1.7760970650530004
M_ALL,22,mse,HARQ,low_vol,0.9071313544430658
M_ALL,22,mse,LA,high_vol,0.8304650226931766
M_ALL,22,mse,LA,low_vol,1.0107449140393723
M_ALL,22,mse,LevHAR,high_vol,1.1894673695177778
M_ALL,22,mse,LevHAR,low_vol,0.830660245921868
M_ALL,22,mse,LogHAR,high_vol,0.9940082826823377
M_ALL,22,mse,LogHAR,low_vol,0.6920202240056307
M_ALL,22,mse,NN1_ensemble,high_vol,1.2694284956346813
M_ALL,22,mse,NN1_ensemble,low_vol,0.8970240339778098
M_ALL,22,mse,NN1_top1,high_vol,1.271947874677702
M_ALL,22,mse,NN1_top1,low_vol,1.048489494206673
M_ALL,22,mse,NN2_ensemble,high_vol,1.1113589621251405
M_ALL,22,mse,NN2_ensemble,low_vol,0.8436226249758043
M_ALL,22,mse,NN2_top1,high_vol,1.2460187377923766
M_ALL,22,mse,NN2_top1,low_vol,1.123940180647609
M_ALL,22,mse,NN3_ensemble,high_vol,1.0450503603003745
M_ALL,22,mse,NN3_ensemble,low_vol,0.7845382296762283
M_ALL,22,mse,NN3_top1,high_vol,1.278492588580986
M_ALL,22,mse,NN3_top1,low_vol,0.9904799729510151
M_ALL,22,mse,NN4_ensemble,high_vol,1.060832372064595
M_ALL,22,mse,NN4_ensemble,low_vol,1.0719296105061
M_ALL,22,mse,NN4_top1,high_vol,1.4143538262164794
M_ALL,22,mse,NN4_top1,low_vol,1.4645314134515937
M_ALL,22,mse,P-LA,high_vol,1.1694714320396455
M_ALL,22,mse,P-LA,low_vol,0.7247151458490327
M_ALL,22,mse,RF,high_vol,2.111941764476805
M_ALL,22,mse,RF,low_vol,5.220076374277482
M_ALL,22,mse,RR,high_vol,1.7612607769525022
M_ALL,22,mse,RR,low_vol,0.8738367485817041
M_ALL,22,mse,SHAR,high_vol,0.9791765829585887
M_ALL,22,mse,SHAR,low_vol,1.0046406402212598
M_ALL,22,qlike,A-LA,high_vol,0.7820002716292489
M_ALL,22,qlike,A-LA,low_vol,1.8336884634193664
M_ALL,22,qlike,BG,high_vol,1.810156990981023
M_ALL,22,qlike,BG,low_vol,1.7124010557888731
M_ALL,22,qlike,EN,high_vol,1.286522565223635
M_ALL,22,qlike,EN,low_vol,1.3134493688254116
M_ALL,22,qlike,GB,high_vol,1.1966074716312154
M_ALL,22,qlike,GB,low_vol,1.3188490129860717
M_ALL,22,qlike,HAR,high_vol,1.0
M_ALL,22,qlike,HAR,low_vol,1.0
M_ALL,22,qlike,HAR-X,high_vol,1.919979411222256
M_ALL,22,qlike,HAR-X,low_vol,1.197399705791854
M_ALL,22,qlike,HARQ,high_vol,1.2640486262209172
M_ALL,22,qlike,HARQ,low_vol,0.880906415171541
M_ALL,22,qlike,LA,high_vol,0.9845036103792476
M_ALL,22,qlike,LA,low_vol,1.2051660933480692
M_ALL,22,qlike,LevHAR,high_vol,1.098980474402078
M_ALL,22,qlike,LevHAR,low_vol,0.7904128874280664
M_ALL,22,qlike,LogHAR,high_vol,1.0229227705896895
M_ALL,22,qlike,LogHAR,low_vol,0.7143142515111123
M_ALL,22,qlike,NN1_ensemble,high_vol,1.3331954917005653
M_ALL,22,qlike,NN1_ensemble,low_vol,1.1648821467488555
M_ALL,22,qlike,NN1_top1,high_vol,1.3211208801586267
M_ALL,22,qlike,NN1_top1,low_vol,1.2339020827806404
M_ALL,22,qlike,NN2_ensemble,high_vol,1.245116142450551
M_ALL,22,qlike,NN2_ensemble,low_vol,0.8719353991265034
M_ALL,22,qlike,NN2_top1,high_vol,1.2886889555669638
M_ALL,22,qlike,NN2_top1,low_vol,1.1899414979527814
M_ALL,22,qlike,NN3_ensemble,high_vol,1.0877565506865625
M_ALL,22,qlike,NN3_ensemble,low_vol,0.8251298524956733
M_ALL,22,qlike,NN3_top1,high_vol,1.3742261129757318
M_ALL,22,qlike,NN3_top1,low_vol,1.1829785911773198
M_ALL,22,qlike,NN4_ensemble,high_vol,1.0982708861118322
M_ALL,22,qlike,NN4_ensemble,low_vol,1.00609297846228
M_ALL,22,qlike,NN4_top1,high_vol,1.682432647776998
M_ALL,22,qlike,NN4_top1,low_vol,1.190074102288551
M_ALL,22,qlike,P-LA,high_vol,1.4520188834471905
M_ALL,22,qlike,P-LA,low_vol,1.04233100266213
M_ALL,22,qlike,RF,high_vol,1.4590462265978932
M_ALL,22,qlike,RF,low_vol,1.4224020288793922
M_ALL,22,qlike,RR,high_vol,1.9563879893464435
M_ALL,22,qlike,RR,low_vol,1.2051171633278448
M_ALL,22,qlike,SHAR,high_vol,0.9882405458449428
M_ALL,22,qlike,SHAR,low_vol,1.0024494932238104
